,Catalyst,Reactant
0,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
1,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
2,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
3,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
4,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
5,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
6,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
7,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
8,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
9,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
10,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
11,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
12,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
13,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
14,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
15,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
16,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
17,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
18,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
19,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
20,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
21,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
22,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7(Br)C28
23,CC(=O)N[C@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
24,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
25,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
26,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
27,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
28,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7(P(=O)(c1ccccc1)c1ccccc1)C28
29,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7(C(O)(c1ccccc1)c1ccccc1)C28
30,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
31,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
32,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
33,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,C1CCN(CC23C4C5C6C2[Fe]56432789C3C2C7C8C39)C1
34,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
35,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
36,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,C1CCN(CC23C4C5C6C2[Fe]56432789C3C2C7C8C39)C1
37,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
38,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
39,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
40,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
41,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
42,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
43,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
44,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
45,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
46,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
47,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
48,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
49,C[C@H](NC(=O)OC(C)(C)C)C(=O)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28
